# NuKEXC W4-11 sweep
# param alg = tiled
# param conv_thr = 1e-7
# param dens_thr = (binary default)
# param lin_dep = 1e-4
# param method = dft
# param nang = 35
# param nrad = 100
# param open_conv_thr = 1e-6
# param open_freeze_occ = 1e-3
# param pruning = robust
# param radial = (binary default)
# param xfunc = gga_xc_b3lyp3
# param bases = DZ TZP TZ2P
# params_hash = 47bf2d3261
# binary = /users/schreinb/NuKEXC/build/tests/standalone
# dataset = /users/schreinb/NuKEXC/input/W4-11
# basis_root = /users/schreinb/NuKEXC/input/zorabasis_cholesky
# date_utc = 2026-07-29T21:17:11Z
# cmdline = benchmark_w411.py --alg tiled --bases DZ TZP TZ2P --species bf c2h4 cl2o co n2h4 n2o p4 so t-hooo b2h6 --out tiled
# conv_thr/freeze_occ columns are the per-species values actually used (open-shell species differ).
# Startup/Fock timing columns are seconds, summed over the whole run (all Fock builds).
basis,species,charge,multiplicity,conv_thr,freeze_occ,converged,nbf,nbf_aux,nquad,nelec,energy,n_fock,t_startup,t_fock,t_scf,t_total,startup:Auxiliary Coulomb overlap (tiled),startup:Build molecular grid,startup:Build neighbor lists (sparse),startup:Copy core matrices to host (arma),startup:Core Hamiltonian (T + V_ne + S),startup:GWH initial guess,startup:Half-inverse of auxiliary overlap,startup:Load basis sets,startup:Nuclear repulsion energy,startup:Orthogonalization matrix X = S^-1/2,startup:Read XYZ,startup:Resolve/init XC functionals,fock:Build density matrices,fock:Coulomb (J) build,fock:Energy assembly,fock:Exact exchange (hybrid) build,fock:Exchange functional (Vx),fock:Fock assembly + orthogonalization,fock:Host->device transfer of orbitals
TZ2P,n2h4,0,1,1e-7,0,1,96,616,171984,18,-111.8602498991,12,0.6279,236.2292,216.8354,237.6712,0.5070,0.0096,0.0081,0.0001,0.0054,0.0002,0.0815,0.0073,0.0001,0.0061,0.0025,0.0000,0.0024,0.7455,0.0000,201.8015,33.6694,0.0069,0.0035
TZ2P,n2o,0,1,1e-7,0,1,78,584,87532,22,-184.6621410668,15,0.4175,119.1607,111.6284,120.4189,0.2568,0.0084,0.0082,0.0001,0.0044,0.0001,0.1250,0.0048,0.0001,0.0065,0.0025,0.0006,0.0015,0.4628,0.0000,101.8945,16.7961,0.0027,0.0031
TZ2P,p4,0,1,1e-7,0,1,136,944,117564,60,-1365.2890283252,9,0.9969,343.2322,305.4677,345.2758,0.7154,0.0148,0.0089,0.0002,0.0061,0.0013,0.2250,0.0073,0.0001,0.0115,0.0024,0.0039,0.0046,0.5888,0.0000,318.9891,23.6354,0.0115,0.0028
TZ2P,so,0,3,1e-6,1e-3,1,60,413,58724,24,-473.3264463777,12,0.2916,26.7695,24.7745,27.7825,0.0987,0.0141,0.0057,0.0001,0.0038,0.0002,0.1525,0.0049,0.0001,0.0065,0.0030,0.0020,0.0012,0.1732,0.0000,21.9535,4.6263,0.0129,0.0024
TZ2P,t-hooo,0,2,1e-6,1e-3,1,89,606,116466,25,-226.0664076860,19,0.5494,227.0769,215.9441,228.9154,0.3314,0.0147,0.0076,0.0001,0.0050,0.0002,0.1721,0.0070,0.0001,0.0075,0.0032,0.0005,0.0038,0.7856,0.0000,194.3314,31.8915,0.0589,0.0057
TZP,b2h6,0,1,1e-7,0,1,74,316,225046,16,-53.2538697117,9,0.2729,81.5850,72.5955,82.3645,0.1692,0.0116,0.0085,0.0001,0.0057,0.0002,0.0624,0.0087,0.0001,0.0051,0.0012,0.0001,0.0009,0.3529,0.0000,67.4511,13.7772,0.0009,0.0020
TZP,bf,0,1,1e-7,0,1,38,209,58651,14,-124.6674167142,12,0.2369,8.7563,8.0825,9.6589,0.0256,0.0130,0.0056,0.0001,0.0033,0.0011,0.1736,0.0041,0.0000,0.0048,0.0022,0.0035,0.0000,0.0821,0.0000,6.4195,2.2523,0.0000,0.0024
TZP,c2h4,0,1,1e-7,0,1,62,274,171692,16,-78.5647547966,10,0.1940,38.7187,34.9137,39.4147,0.1013,0.0097,0.0071,0.0001,0.0047,0.0001,0.0598,0.0060,0.0001,0.0038,0.0012,0.0001,0.0010,0.2415,0.0000,31.0270,7.4462,0.0010,0.0020
TZP,cl2o,0,1,1e-7,0,1,73,369,87860,42,-995.4055448599,14,0.1836,56.3121,52.5516,57.1620,0.0853,0.0072,0.0069,0.0001,0.0046,0.0001,0.0669,0.0059,0.0001,0.0051,0.0013,0.0001,0.0014,0.2335,0.0000,47.1952,8.8775,0.0014,0.0031
TZP,co,0,1,1e-7,0,1,38,198,58638,14,-113.3043463622,13,0.1092,9.0159,8.4203,9.7691,0.0236,0.0063,0.0055,0.0001,0.0032,0.0001,0.0618,0.0044,0.0001,0.0028,0.0013,0.0000,0.0000,0.0894,0.0000,6.4519,2.4720,0.0000,0.0026
TZP,n2h4,0,1,1e-7,0,1,62,274,171984,18,-111.8553958837,12,0.1917,46.5747,42.7934,47.3884,0.0982,0.0098,0.0073,0.0001,0.0048,0.0001,0.0590,0.0073,0.0001,0.0036,0.0013,0.0001,0.0012,0.2963,0.0000,37.2630,9.0106,0.0012,0.0024
TZP,n2o,0,1,1e-7,0,1,57,297,87532,22,-184.6512147124,15,0.1620,30.8167,28.9898,31.7419,0.0656,0.0074,0.0070,0.0001,0.0042,0.0001,0.0662,0.0041,0.0001,0.0037,0.0034,0.0001,0.0001,0.2108,0.0000,24.4433,6.1580,0.0015,0.0030
TZP,p4,0,1,1e-7,0,1,108,540,117564,60,-1365.2764625045,10,0.3290,135.0471,121.7481,136.1174,0.2142,0.0079,0.0074,0.0001,0.0053,0.0003,0.0791,0.0064,0.0001,0.0068,0.0013,0.0001,0.0030,0.3392,0.0000,122.5877,12.1112,0.0030,0.0030
TZP,so,0,3,1e-6,1e-3,1,46,240,58724,24,-473.3195541361,12,0.1217,11.5857,10.7718,12.3910,0.0322,0.0067,0.0059,0.0001,0.0039,0.0001,0.0634,0.0044,0.0001,0.0030,0.0018,0.0001,0.0000,0.0906,0.0000,8.7996,2.6931,0.0000,0.0024
TZP,t-hooo,0,2,1e-6,1e-3,1,63,316,116466,25,-226.0559117189,19,0.1906,56.4465,53.8997,57.6001,0.0867,0.0121,0.0071,0.0001,0.0046,0.0001,0.0694,0.0048,0.0001,0.0041,0.0014,0.0001,0.0019,0.3501,0.0000,45.4355,10.6532,0.0019,0.0039
